customerid,date,price,qty
AEE0F416-920C-E911-A97F-000D3AF2837B,10/27/2016,3418,1
9B92BC43-AB0C-E911-A972-000D3AF288B3,3/1/2017,3418,1
A967000A-A50C-E911-A972-000D3AF288B3,1/28/2017,3418,1
888D18F4-810C-E911-A972-000D3AF288B3,9/7/2016,3418,1
A33668A8-8F0C-E911-A976-000D3AF27119,9/29/2016,3418,1
E0D80598-8C0C-E911-A972-000D3AF288B3,10/14/2016,3418,1
2600939C-AA0C-E911-A97F-000D3AF2837B,1/16/2017,3418,1
D6DFE876-B40C-E911-A975-000D3AF28740,2/22/2017,3418,1
B96C69B5-800C-E911-A97F-000D3AF2837B,8/26/2016,3418,1
